DATE,IRLTLT01RUM156N
2000-01-01,58.57
2000-02-01,51.06
2000-03-01,40.95
2000-04-01,41.12
2000-05-01,41.05
2000-06-01,37.82
2000-07-01,29.44
2000-08-01,25.68
2000-09-01,23.59
2000-10-01,23.8
2000-11-01,24.18
2000-12-01,24.7
2001-01-01,23.29
2001-02-01,21.97
2001-03-01,22.36
2001-04-01,20.96
2001-05-01,19.34
2001-06-01,18.81
2001-07-01,18.96
2001-08-01,18.58
2001-09-01,17.48
2001-10-01,17.34
2001-11-01,16.84
2001-12-01,16.67
2002-01-01,15.7
2002-02-01,15.1
2002-03-01,16.09
2002-04-01,17.05
2002-05-01,16.85
2002-06-01,16.56
2002-07-01,16.24
2002-08-01,16.28
2002-09-01,16.23
2002-10-01,15.39
2002-11-01,14.62
2002-12-01,13.78
2003-01-01,13.14
2003-02-01,10.89
2003-03-01,9.43
2003-04-01,8.93
2003-05-01,8.05
2003-06-01,7.74
2003-07-01,8.42
2003-08-01,8.43
2003-09-01,8.81
2003-10-01,8.59
2003-11-01,8.6
2003-12-01,8.35
2004-01-01,7.76
2004-02-01,8.16
2004-03-01,7.97
2004-04-01,8.35
2004-05-01,8.41
2004-06-01,8.48
2004-07-01,8.49
2004-08-01,8.52
2004-09-01,8.37
2004-10-01,8.28
2004-11-01,8.22
2004-12-01,8.46
2005-01-01,8.41
2005-02-01,8.38
2005-03-01,8.49
2005-04-01,8.53
2005-05-01,8.51
2005-06-01,8.5
2005-07-01,8.47
2005-08-01,8.21
2005-09-01,7.73
2005-10-01,7.58
2005-11-01,7.38
2005-12-01,7.1
2006-01-01,6.96
2006-02-01,7.01
2006-03-01,7.01
2006-04-01,7.04
2006-05-01,7.05
2006-06-01,7.06
2006-07-01,7.07
2006-08-01,7.02
2006-09-01,6.93
2006-10-01,6.91
2006-11-01,6.89
2006-12-01,6.77
2007-01-01,6.77
2007-02-01,6.77
2007-03-01,6.77
2007-04-01,6.73
2007-05-01,6.68
2007-06-01,6.68
2007-07-01,6.65
2007-08-01,6.71
2007-09-01,6.82
2007-10-01,6.7
2007-11-01,6.67
2007-12-01,6.66
2008-01-01,6.63
2008-02-01,6.83
2008-03-01,6.96
2008-04-01,6.96
2008-05-01,6.99
2008-06-01,6.98
2008-07-01,7.13
2008-08-01,7.56
2008-09-01,8.25
2008-10-01,8.73
2008-11-01,8.46
2008-12-01,8.8
2009-01-01,9.98
2009-02-01,10.09
2009-03-01,10.58
2009-04-01,10.12
2009-05-01,10.13
2009-06-01,9.7
2009-07-01,10.04
2009-08-01,10.11
2009-09-01,10.23
2009-10-01,9.59
2009-11-01,9.07
2009-12-01,8.85
2010-01-01,8.46
2010-02-01,8.25
2010-03-01,7.89
2010-04-01,7.55
2010-05-01,7.71
2010-06-01,7.63
2010-07-01,7.62
2010-08-01,7.65
2010-09-01,7.71
2010-10-01,7.67
2010-11-01,7.83
2010-12-01,8.01
2011-01-01,8
2011-02-01,8
2011-03-01,8.05
2011-04-01,7.95
2011-05-01,8.02
2011-06-01,8.14
2011-07-01,8.04
2011-08-01,8.19
2011-09-01,8
2011-10-01,7.97
2011-11-01,8.14
2011-12-01,8.23
2012-01-01,8.35
2012-02-01,8.06
2012-03-01,8.09
2012-04-01,8.18
2012-05-01,8.13
2012-06-01,8.26
2012-07-01,8.09
2012-08-01,8.17
2012-09-01,8.25
2012-10-01,8.21
2012-11-01,7.96
2012-12-01,8.1
2013-01-01,6.94
2013-02-01,6.99
2013-03-01,7.13
2013-04-01,7.05
2013-05-01,6.99
2013-06-01,7.35
2013-07-01,7.51
2013-08-01,7.56
2013-09-01,7.5
2013-10-01,7.53
2013-11-01,7.65
2013-12-01,7.77
2014-01-01,7.91
2014-02-01,7.8
2014-03-01,8.17
2014-04-01,8.18
2014-05-01,8.14
2014-06-01,8.12
2014-07-01,8.22
2014-08-01,8.57
2014-09-01,8.73
2014-10-01,8.88
2014-11-01,8.63
2014-12-01,10.22
2015-01-01,10.37
2015-02-01,10.51
2015-03-01,10.7
2015-04-01,10.0
2015-05-01,9.61
2015-06-01,9.13
2015-07-01,9.19
2015-08-01,12.16
2015-09-01,12.64
2015-10-01,12.27
2015-11-01,12.24
2015-12-01,11.82
2016-01-01,11.56
2016-02-01,11.25
2016-03-01,10.65
2016-04-01,10.61
2016-05-01,10.49
2016-06-01,10.3
2016-07-01,10.13
2016-08-01,10.12
2016-09-01,10.01
2016-10-01,10.08
2016-11-01,10.11
2016-12-01,9.95
2017-01-01,9.62
2017-02-01,9.77
2017-03-01,9.56
2017-04-01,9.33
2017-05-01,9.09
2017-06-01,8.99
2017-07-01,8.84
2017-08-01,8.74
2017-09-01,8.65
2017-10-01,8.59
2017-11-01,8.48
2017-12-01,8.25
2018-01-01,7.98
2018-02-01,7.85
2018-03-01,7.79
2018-04-01,7.81
2018-05-01,7.67
2018-06-01,7.62
