"","break_date","test_result_word","test_result","p_value","test_stat","logLikUR","logLikR"
"1",2001-01-01,"h0_not_rejected","TRUE","1","-34927.9540562805","-8324.49802814027","9139.479"
"2",2001-04-01,"h0_not_rejected","TRUE","1","-34503.6331780022","-8112.33758900112","9139.479"
"3",2001-07-01,"h0_not_rejected","TRUE","1","-34076.347203431","-7898.69460171552","9139.479"
"4",2001-10-01,"h0_not_rejected","TRUE","1","-33626.8692945726","-7673.95564728632","9139.479"
"5",2002-01-01,"h0_not_rejected","TRUE","1","-33246.8961511236","-7483.96907556179","9139.479"
"6",2002-04-01,"h0_not_rejected","TRUE","1","-32847.3434986413","-7284.19274932067","9139.479"
"7",2002-07-01,"h0_not_rejected","TRUE","1","-32440.6381235582","-7080.84006177912","9139.479"
"8",2002-10-01,"h0_not_rejected","TRUE","1","-31914.4475399875","-6817.74476999374","9139.479"
"9",2003-01-01,"h0_not_rejected","TRUE","1","-31437.2272831576","-6579.13464157878","9139.479"
"10",2003-04-01,"h0_not_rejected","TRUE","1","-31030.0566154663","-6375.54930773315","9139.479"
"11",2003-07-01,"h0_not_rejected","TRUE","1","-30571.4904667155","-6146.26623335776","9139.479"
"12",2003-10-01,"h0_not_rejected","TRUE","1","-30035.4275585723","-5878.23477928615","9139.479"
"13",2004-01-01,"h0_not_rejected","TRUE","1","-29560.2799908325","-5640.66099541627","9139.479"
"14",2004-04-01,"h0_not_rejected","TRUE","1","-29110.5306681333","-5415.78633406667","9139.479"
"15",2004-07-01,"h0_not_rejected","TRUE","1","-28670.8613092167","-5195.95165460835","9139.479"
"16",2004-10-01,"h0_not_rejected","TRUE","1","-28179.7417495666","-4950.39187478328","9139.479"
"17",2005-01-01,"h0_not_rejected","TRUE","1","-27757.4325440965","-4739.23727204827","9139.479"
"18",2005-04-01,"h0_not_rejected","TRUE","1","-27375.9873631069","-4548.51468155348","9139.479"
"19",2005-07-01,"h0_not_rejected","TRUE","1","-26897.6544338121","-4309.34821690606","9139.479"
"20",2005-10-01,"h0_not_rejected","TRUE","1","-26368.3299077195","-4044.68595385977","9139.479"
"21",2006-01-01,"h0_not_rejected","TRUE","1","-25870.5803295391","-3795.81116476955","9139.479"
"22",2006-04-01,"h0_not_rejected","TRUE","1","-25438.3055449425","-3579.67377247124","9139.479"
"23",2006-07-01,"h0_not_rejected","TRUE","1","-24970.5609047765","-3345.80145238825","9139.479"
"24",2006-10-01,"h0_not_rejected","TRUE","1","-24498.3057435557","-3109.67387177786","9139.479"
"25",2007-01-01,"h0_not_rejected","TRUE","1","-24002.6638685411","-2861.85293427054","9139.479"
"26",2007-04-01,"h0_not_rejected","TRUE","1","-23556.7211624427","-2638.88158122136","9139.479"
"27",2007-07-01,"h0_not_rejected","TRUE","1","-23084.2023999298","-2402.62219996492","9139.479"
"28",2007-10-01,"h0_not_rejected","TRUE","1","-22574.2763753256","-2147.65918766278","9139.479"
"29",2008-01-01,"h0_not_rejected","TRUE","1","-22114.0120161952","-1917.52700809759","9139.479"
"30",2008-04-01,"h0_not_rejected","TRUE","1","-21681.4967936228","-1701.2693968114","9139.479"
"31",2008-07-01,"h0_not_rejected","TRUE","1","-21186.8778983874","-1453.9599491937","9139.479"
