"","break_date","test_result_word","test_result","p_value","test_stat","logLikUR","logLikR"
"1",2001-01-01,"h0_not_rejected","TRUE","1","-52317.2817164593","-12314.8108582296","13843.83"
"2",2001-04-01,"h0_not_rejected","TRUE","1","-51495.5536874085","-11903.9468437042","13843.83"
"3",2001-07-01,"h0_not_rejected","TRUE","1","-50671.9430836343","-11492.1415418172","13843.83"
"4",2001-10-01,"h0_not_rejected","TRUE","1","-49763.6639632984","-11038.0019816492","13843.83"
"5",2002-01-01,"h0_not_rejected","TRUE","1","-48976.6538868223","-10644.4969434111","13843.83"
"6",2002-04-01,"h0_not_rejected","TRUE","1","-48194.240169708","-10253.290084854","13843.83"
"7",2002-07-01,"h0_not_rejected","TRUE","1","-47333.4827889747","-9822.91139448735","13843.83"
"8",2002-10-01,"h0_not_rejected","TRUE","1","-46377.7687046377","-9345.05435231882","13843.83"
"9",2003-01-01,"h0_not_rejected","TRUE","1","-45434.6625629736","-8873.50128148682","13843.83"
"10",2003-04-01,"h0_not_rejected","TRUE","1","-44666.1980004969","-8489.26900024845","13843.83"
"11",2003-07-01,"h0_not_rejected","TRUE","1","-43777.3768112382","-8044.85840561908","13843.83"
"12",2003-10-01,"h0_not_rejected","TRUE","1","-42850.3780916467","-7581.35904582336","13843.83"
"13",2004-01-01,"h0_not_rejected","TRUE","1","-42019.7931119331","-7166.06655596655","13843.83"
"14",2004-04-01,"h0_not_rejected","TRUE","1","-41220.1093135332","-6766.22465676662","13843.83"
"15",2004-07-01,"h0_not_rejected","TRUE","1","-40354.1701454719","-6333.25507273594","13843.83"
"16",2004-10-01,"h0_not_rejected","TRUE","1","-39375.2813682018","-5843.81068410091","13843.83"
"17",2005-01-01,"h0_not_rejected","TRUE","1","-38513.2416323991","-5412.79081619957","13843.83"
"18",2005-04-01,"h0_not_rejected","TRUE","1","-37834.6904561015","-5073.51522805074","13843.83"
"19",2005-07-01,"h0_not_rejected","TRUE","1","-36994.3411658125","-4653.34058290626","13843.83"
"20",2005-10-01,"h0_not_rejected","TRUE","1","-36111.3269526298","-4211.83347631492","13843.83"
"21",2006-01-01,"h0_not_rejected","TRUE","1","-35263.4372547998","-3787.88862739992","13843.83"
"22",2006-04-01,"h0_not_rejected","TRUE","1","-34512.1296729033","-3412.23483645167","13843.83"
"23",2006-07-01,"h0_not_rejected","TRUE","1","-33789.0791870349","-3050.70959351745","13843.83"
"24",2006-10-01,"h0_not_rejected","TRUE","1","-32923.3451569099","-2617.84257845493","13843.83"
"25",2007-01-01,"h0_not_rejected","TRUE","1","-32058.4028801342","-2185.37144006711","13843.83"
"26",2007-04-01,"h0_not_rejected","TRUE","1","-31267.9795784235","-1790.15978921177","13843.83"
"27",2007-07-01,"h0_not_rejected","TRUE","1","-30461.4073575076","-1386.87367875382","13843.83"
"28",2007-10-01,"h0_not_rejected","TRUE","1","-29621.8641174013","-967.102058700636","13843.83"
"29",2008-01-01,"h0_not_rejected","TRUE","1","-28838.7284813847","-575.534240692328","13843.83"
"30",2008-04-01,"h0_not_rejected","TRUE","1","-28257.3803878089","-284.860193904458","13843.83"
"31",2008-07-01,"h0_not_rejected","TRUE","1","-27496.5459274382","95.5570362808949","13843.83"
"32",2008-10-01,"h0_not_rejected","TRUE","1","-26914.4691418696","386.595429065206","13843.83"
"33",2009-01-01,"h0_not_rejected","TRUE","1","-26672.7511623349","507.454418832527","13843.83"
"34",2009-04-01,"h0_not_rejected","TRUE","1","-26563.3835323094","562.138233845308","13843.83"
"35",2009-07-01,"h0_not_rejected","TRUE","1","-26057.6083681551","815.025815922458","13843.83"
"36",2009-10-01,"h0_not_rejected","TRUE","1","-25525.4389111285","1081.11054443573","13843.83"
"37",2010-01-01,"h0_not_rejected","TRUE","1","-24857.3112311478","1415.1743844261","13843.83"
"38",2010-04-01,"h0_not_rejected","TRUE","1","-24255.2420682804","1716.20896585982","13843.83"
"39",2010-07-01,"h0_not_rejected","TRUE","1","-23754.7534183857","1966.45329080714","13843.83"
"40",2010-10-01,"h0_not_rejected","TRUE","1","-22959.7296712953","2363.96516435237","13843.83"
"41",2011-01-01,"h0_not_rejected","TRUE","1","-22280.5627283119","2703.54863584405","13843.83"
"42",2011-04-01,"h0_not_rejected","TRUE","1","-21628.3241526305","3029.66792368475","13843.83"
"43",2011-07-01,"h0_not_rejected","TRUE","1","-21020.1957313298","3333.73213433508","13843.83"
"44",2011-10-01,"h0_not_rejected","TRUE","1","-20446.2671981346","3620.69640093272","13843.83"
"45",2012-01-01,"h0_not_rejected","TRUE","1","-19951.9650229928","3867.84748850359","13843.83"
"46",2012-04-01,"h0_not_rejected","TRUE","1","-19330.6091515045","4178.52542424773","13843.83"
"47",2012-07-01,"h0_not_rejected","TRUE","1","-18853.359571547","4417.15021422651","13843.83"
"48",2012-10-01,"h0_not_rejected","TRUE","1","-18207.5375096186","4740.06124519071","13843.83"
"49",2013-01-01,"h0_not_rejected","TRUE","1","-17451.3758283141","5118.14208584293","13843.83"
"50",2013-04-01,"h0_not_rejected","TRUE","1","-16738.5949792802","5474.53251035988","13843.83"
"51",2013-07-01,"h0_not_rejected","TRUE","1","-16095.1600754415","5796.24996227925","13843.83"
"52",2013-10-01,"h0_not_rejected","TRUE","1","-15341.8364729073","6172.91176354635","13843.83"
"53",2014-01-01,"h0_not_rejected","TRUE","1","-14575.1094832355","6556.27525838226","13843.83"
"54",2014-04-01,"h0_not_rejected","TRUE","1","-13967.8130981948","6859.92345090259","13843.83"
"55",2014-07-01,"h0_not_rejected","TRUE","1","-13286.7036490044","7200.47817549779","13843.83"
