"","break_date","test_result_word","test_result","p_value","test_stat","logLikUR","logLikR"
"1",2001-01-01,"h0_rejected","FALSE","1.8406276502958e-11","59.1275344591995","15481.9421794712","15452.3784122416"
"2",2001-04-01,"h0_rejected","FALSE","3.70468544730329e-10","52.7955098064995","15478.7761671448","15452.3784122416"
"3",2001-07-01,"h0_rejected","FALSE","1.05358455269045e-05","30.7413042559419","15467.7490643696","15452.3784122416"
"4",2001-10-01,"h0_rejected","FALSE","0.000326426147454595","23.0762193039845","15463.9165218936","15452.3784122416"
"5",2002-01-01,"h0_rejected","FALSE","2.72581221705259e-07","38.7025024437935","15471.7296634635","15452.3784122416"
"6",2002-04-01,"h0_rejected","FALSE","0.00413357401912173","17.2012188959379","15460.9790216896","15452.3784122416"
"7",2002-07-01,"h0_not_rejected","TRUE","0.0922189951739639","9.45547000547958","15457.1061472443","15452.3784122416"
"8",2002-10-01,"h0_not_rejected","TRUE","1","-101.614180235039","15401.5713221241","15452.3784122416"
"9",2003-01-01,"h0_rejected","FALSE","0.00449793984769942","17.0009794242287","15460.8789019537","15452.3784122416"
"10",2003-04-01,"h0_rejected","FALSE","0.000957319809328561","20.6155591393617","15462.6861918113","15452.3784122416"
"11",2003-07-01,"h0_rejected","FALSE","1.12751726843996e-08","45.5384438184337","15475.1476341508","15452.3784122416"
"12",2003-10-01,"h0_rejected","FALSE","1.34302735599334e-09","50.0665318207866","15477.411678152","15452.3784122416"
"13",2004-01-01,"h0_rejected","FALSE","1.29665322923245e-09","50.1411019335719","15477.4489632084","15452.3784122416"
"14",2004-04-01,"h0_rejected","FALSE","1.82476423971067e-08","44.5100240014945","15474.6334242423","15452.3784122416"
"15",2004-07-01,"h0_rejected","FALSE","0.00991798234295982","15.1062215246784","15459.9315230039","15452.3784122416"
"16",2004-10-01,"h0_rejected","FALSE","0","88.425680252185","15496.5912523677","15452.3784122416"
"17",2005-01-01,"h0_rejected","FALSE","0","121.862875713432","15513.3098500983","15452.3784122416"
"18",2005-04-01,"h0_rejected","FALSE","0","101.215999428005","15502.9864119556","15452.3784122416"
"19",2005-07-01,"h0_rejected","FALSE","0","104.257478887244","15504.5071516852","15452.3784122416"
"20",2005-10-01,"h0_rejected","FALSE","0","98.4566983122422","15501.6067613977","15452.3784122416"
"21",2006-01-01,"h0_rejected","FALSE","0","95.1229163661519","15499.9398704247","15452.3784122416"
"22",2006-04-01,"h0_rejected","FALSE","0","101.559170876928","15503.1579976801","15452.3784122416"
"23",2006-07-01,"h0_rejected","FALSE","0","87.8797959619988","15496.3183102226","15452.3784122416"
"24",2006-10-01,"h0_rejected","FALSE","4.91828799908944e-14","71.5300440356514","15488.1434342594","15452.3784122416"
"25",2007-01-01,"h0_rejected","FALSE","1.66477942542542e-12","64.1712008164141","15484.4640126498","15452.3784122416"
"26",2007-04-01,"h0_rejected","FALSE","4.09946521173765e-11","57.4422033240189","15481.0995139036","15452.3784122416"
